GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GLAbackend,io.github.tiagofdev.applicationgla.model,PriceEntity,3,0,0,0,1,0,1,0,1,0
GLAbackend,io.github.tiagofdev.applicationgla.model,UserEntity,12,0,0,0,5,0,2,0,2,0
GLAbackend,io.github.tiagofdev.applicationgla.model,CurrencyEntity,3,0,0,0,1,0,1,0,1,0
GLAbackend,io.github.tiagofdev.applicationgla.model,HistoricalEntity,3,0,0,0,1,0,1,0,1,0
GLAbackend,io.github.tiagofdev.applicationgla.model,AlertEntity,24,0,0,0,10,0,2,0,2,0
GLAbackend,io.github.tiagofdev.applicationgla.config,SecurityConfig,73,0,0,0,14,0,6,0,6,0
GLAbackend,io.github.tiagofdev.applicationgla.config,JwtAuthenticationFilter,132,0,16,0,32,0,10,0,2,0
GLAbackend,io.github.tiagofdev.applicationgla.config,WebConfig.new WebMvcConfigurer() {...},50,0,0,0,7,0,2,0,2,0
GLAbackend,io.github.tiagofdev.applicationgla.config,WebConfig,8,0,0,0,2,0,2,0,2,0
GLAbackend,io.github.tiagofdev.applicationgla.config,AppConfiguration,7,0,0,0,2,0,2,0,2,0
GLAbackend,io.github.tiagofdev.applicationgla.config,Metrics,20,0,0,0,8,0,3,0,3,0
GLAbackend,io.github.tiagofdev.applicationgla.dto,AlertsDTO,63,0,0,0,26,0,13,0,13,0
GLAbackend,io.github.tiagofdev.applicationgla.dto,CurrencyResponse,10,0,0,0,4,0,3,0,3,0
GLAbackend,io.github.tiagofdev.applicationgla.dto,HistoricalResponse.DailyAsset,45,0,0,0,19,0,13,0,13,0
GLAbackend,io.github.tiagofdev.applicationgla.dto,CurrencyResponse.CoinAsset,45,0,0,0,19,0,13,0,13,0
GLAbackend,io.github.tiagofdev.applicationgla.dto,HistoricalResponse,10,0,0,0,4,0,3,0,3,0
GLAbackend,io.github.tiagofdev.applicationgla.dto,RequestType,17,0,0,0,7,0,5,0,5,0
GLAbackend,io.github.tiagofdev.applicationgla.dto,PriceResponse,10,0,0,0,4,0,3,0,3,0
GLAbackend,io.github.tiagofdev.applicationgla.dto,PriceResponse.Asset,24,0,0,0,10,0,7,0,7,0
GLAbackend,io.github.tiagofdev.applicationgla.dto,LoginRequest,17,0,0,0,7,0,5,0,5,0
GLAbackend,io.github.tiagofdev.applicationgla,GlaBackend,8,0,0,0,3,0,2,0,2,0
GLAbackend,io.github.tiagofdev.applicationgla.controller,Controller,169,0,0,0,62,0,8,0,8,0
GLAbackend,io.github.tiagofdev.applicationgla.controller,AuthController,75,0,0,0,25,0,2,0,2,0
GLAbackend,io.github.tiagofdev.applicationgla.controller,JwtTokenManager,76,0,4,0,19,0,8,0,6,0
GLAbackend,io.github.tiagofdev.applicationgla.controller,Controller.AlertRequest,45,0,0,0,19,0,13,0,13,0
GLAbackend,io.github.tiagofdev.applicationgla.controller,AccountController.RegisterRequest,17,0,0,0,7,0,5,0,5,0
GLAbackend,io.github.tiagofdev.applicationgla.controller,AccountController,46,0,0,0,20,0,2,0,2,0
GLAbackend,io.github.tiagofdev.applicationgla.controller,AuthRequest,17,0,0,0,7,0,5,0,5,0
GLAbackend,io.github.tiagofdev.applicationgla.controller,JwtAuthenticationToken,16,0,0,0,6,0,3,0,3,0
GLAbackend,io.github.tiagofdev.applicationgla.service,Services,374,0,22,0,75,0,17,0,6,0
GLAbackend,io.github.tiagofdev.applicationgla.service,Collector,501,0,20,0,119,0,26,0,16,0
GLAbackend,io.github.tiagofdev.applicationgla.service,CustomUserDetailsService,59,0,2,0,16,0,5,0,4,0
GLAbackend,io.github.tiagofdev.applicationgla.service,ServiceAlert,438,0,42,0,111,0,32,0,11,0
